invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,discounted_price
I317815,C262155,Female,45,Shoes,2,1200.34,Credit Card,16/12/2021,Metropol AVM,1080.306
I319995,C888269,Female,59,Shoes,1,600.17,Debit Card,19/06/2022,Mall of Istanbul,540.153
I217540,C976490,Female,61,Shoes,1,600.17,Cash,10/12/2022,Mall of Istanbul,540.153
I181707,C225533,Female,53,Shoes,1,600.17,Debit Card,26/08/2021,Mall of Istanbul,540.153
I122365,C339313,Female,36,Shoes,5,3000.85,Debit Card,19/05/2022,Metropol AVM,2700.765
I207438,C296016,Female,46,Shoes,1,600.17,Credit Card,12/1/2021,Forum Istanbul,540.153
I128704,C148946,Female,40,Shoes,5,3000.85,Debit Card,8/10/2021,Metropol AVM,2700.765
I574286,C542805,Female,66,Shoes,3,1800.51,Credit Card,19/08/2022,Mall of Istanbul,1620.459
I307283,C249624,Female,55,Shoes,4,2400.68,Credit Card,2/5/2021,Metropol AVM,2160.612
I126882,C116476,Female,40,Shoes,1,600.17,Cash,1/5/2022,Kanyon,540.153
I333637,C256993,Female,68,Shoes,5,3000.85,Debit Card,7/2/2023,Metrocity,2700.765
I117166,C113471,Female,47,Shoes,3,1800.51,Credit Card,3/9/2021,Zorlu Center,1620.459
I122467,C145664,Female,60,Shoes,3,1800.51,Credit Card,19/10/2021,Kanyon,1620.459
I328975,C167026,Female,46,Shoes,4,2400.68,Debit Card,25/08/2022,Viaport Outlet,2160.612
I225598,C260158,Female,43,Shoes,3,1800.51,Debit Card,9/11/2022,Metropol AVM,1620.459
I220623,C690514,Female,53,Shoes,4,2400.68,Credit Card,9/10/2021,Viaport Outlet,2160.612
I772985,C589366,Female,65,Shoes,1,600.17,Credit Card,28/06/2022,Metrocity,540.153
I264085,C480969,Female,39,Shoes,1,600.17,Credit Card,4/8/2022,Emaar Square Mall,540.153
I759163,C279977,Female,52,Shoes,1,600.17,Credit Card,17/05/2021,Metrocity,540.153
I117276,C306034,Female,36,Shoes,2,1200.34,Cash,21/05/2021,Kanyon,1080.306
I152823,C224457,Female,53,Shoes,1,600.17,Credit Card,21/07/2022,Emaar Square Mall,540.153
I127989,C153957,Female,51,Shoes,4,2400.68,Debit Card,15/09/2022,Metropol AVM,2160.612
I207461,C194036,Female,60,Shoes,2,1200.34,Cash,22/05/2021,Istinye Park,1080.306
I474829,C244555,Female,58,Shoes,5,3000.85,Debit Card,6/3/2022,Forum Istanbul,2700.765
I832990,C322782,Female,44,Shoes,1,600.17,Cash,14/01/2021,Metrocity,540.153
I149006,C270043,Female,59,Shoes,4,2400.68,Credit Card,11/2/2022,Kanyon,2160.612
I170561,C833871,Female,39,Shoes,1,600.17,Debit Card,31/07/2022,Kanyon,540.153
I285543,C175871,Female,34,Shoes,5,3000.85,Cash,15/01/2021,Emaar Square Mall,2700.765
I788026,C288306,Female,64,Shoes,4,2400.68,Cash,30/11/2021,Zorlu Center,2160.612
I157554,C330490,Female,47,Shoes,2,1200.34,Cash,23/11/2022,Mall of Istanbul,1080.306
I256004,C408856,Female,68,Shoes,5,3000.85,Debit Card,19/04/2022,Metropol AVM,2700.765
I539875,C321777,Female,39,Shoes,2,1200.34,Cash,28/01/2022,Viaport Outlet,1080.306
I410726,C314577,Female,41,Shoes,4,2400.68,Credit Card,20/01/2022,Mall of Istanbul,2160.612
I304318,C219835,Female,66,Shoes,5,3000.85,Debit Card,5/1/2022,Kanyon,2700.765
I321512,C287290,Female,64,Shoes,3,1800.51,Credit Card,5/8/2022,Kanyon,1620.459
I200889,C669846,Female,64,Shoes,5,3000.85,Credit Card,28/12/2021,Kanyon,2700.765
I249627,C363571,Female,64,Shoes,2,1200.34,Cash,4/2/2022,Mall of Istanbul,1080.306
I201107,C434821,Female,46,Shoes,5,3000.85,Credit Card,22/10/2022,Istinye Park,2700.765
I789228,C310226,Female,51,Shoes,4,2400.68,Credit Card,30/04/2021,Kanyon,2160.612
I278455,C238154,Female,69,Shoes,1,600.17,Debit Card,12/3/2022,Metrocity,540.153
I147866,C323507,Female,38,Shoes,1,600.17,Credit Card,20/12/2021,Istinye Park,540.153
I198473,C947353,Female,61,Shoes,1,600.17,Debit Card,21/11/2022,Mall of Istanbul,540.153
I263494,C319620,Female,48,Shoes,4,2400.68,Cash,1/1/2021,Kanyon,2160.612
I768346,C176703,Female,58,Shoes,2,1200.34,Debit Card,7/6/2021,Kanyon,1080.306
I224059,C499166,Female,45,Shoes,2,1200.34,Credit Card,4/12/2021,Forum Istanbul,1080.306
I120611,C178907,Female,40,Shoes,5,3000.85,Cash,7/1/2023,Emaar Square Mall,2700.765
I957419,C264877,Female,69,Shoes,2,1200.34,Cash,5/10/2021,Forum Istanbul,1080.306
I337213,C212834,Female,51,Shoes,4,2400.68,Credit Card,12/2/2022,Istinye Park,2160.612
I525213,C295676,Female,44,Shoes,4,2400.68,Debit Card,27/12/2021,Metrocity,2160.612
I228816,C746424,Female,50,Shoes,2,1200.34,Cash,4/3/2023,Kanyon,1080.306
I281185,C290119,Female,37,Shoes,5,3000.85,Cash,1/1/2023,Cevahir AVM,2700.765
I683772,C338722,Female,32,Shoes,2,1200.34,Debit Card,3/3/2021,Emaar Square Mall,1080.306
I214248,C299722,Female,42,Shoes,1,600.17,Cash,12/5/2021,Kanyon,540.153
I220284,C145053,Female,69,Shoes,4,2400.68,Cash,20/07/2021,Istinye Park,2160.612
I671419,C199834,Female,33,Shoes,2,1200.34,Cash,4/2/2022,Viaport Outlet,1080.306
I300305,C516953,Female,47,Shoes,5,3000.85,Credit Card,16/11/2022,Cevahir AVM,2700.765
I317167,C161015,Female,34,Shoes,1,600.17,Credit Card,18/04/2022,Metrocity,540.153
I197116,C196912,Female,46,Shoes,5,3000.85,Credit Card,26/04/2022,Metrocity,2700.765
I291152,C321101,Female,62,Shoes,2,1200.34,Cash,18/01/2022,Metropol AVM,1080.306
I264064,C266614,Female,35,Shoes,2,1200.34,Cash,15/01/2021,Cevahir AVM,1080.306
I258031,C171995,Female,54,Shoes,5,3000.85,Credit Card,26/04/2021,Istinye Park,2700.765
I182038,C206805,Female,52,Shoes,1,600.17,Cash,2/2/2023,Kanyon,540.153
I184910,C442725,Female,66,Shoes,5,3000.85,Cash,23/08/2022,Kanyon,2700.765
I204484,C868498,Female,58,Shoes,3,1800.51,Credit Card,29/01/2023,Emaar Square Mall,1620.459
I802186,C177621,Female,59,Shoes,2,1200.34,Credit Card,9/6/2022,Mall of Istanbul,1080.306
I138301,C296722,Female,58,Shoes,4,2400.68,Debit Card,30/08/2021,Metropol AVM,2160.612
I336464,C184886,Female,42,Shoes,1,600.17,Credit Card,26/03/2021,Kanyon,540.153
I132073,C327593,Female,37,Shoes,5,3000.85,Cash,6/3/2023,Kanyon,2700.765
I918283,C292217,Female,46,Shoes,3,1800.51,Debit Card,12/4/2022,Mall of Istanbul,1620.459
I314195,C518633,Female,39,Shoes,2,1200.34,Cash,20/03/2022,Istinye Park,1080.306
I122809,C230314,Female,53,Shoes,2,1200.34,Cash,21/11/2022,Metropol AVM,1080.306
I677719,C113263,Female,48,Shoes,5,3000.85,Cash,6/9/2021,Emaar Square Mall,2700.765
I172079,C247175,Female,67,Shoes,4,2400.68,Cash,10/8/2021,Metrocity,2160.612
I328361,C900328,Female,46,Shoes,2,1200.34,Credit Card,20/09/2022,Metropol AVM,1080.306
I378545,C259592,Female,45,Shoes,3,1800.51,Credit Card,9/4/2021,Metropol AVM,1620.459
I193373,C135062,Female,53,Shoes,3,1800.51,Debit Card,27/09/2021,Kanyon,1620.459
I982564,C569859,Female,55,Shoes,1,600.17,Cash,28/02/2022,Kanyon,540.153
I176960,C196587,Female,58,Shoes,1,600.17,Credit Card,5/9/2022,Metrocity,540.153
I558626,C388069,Female,67,Shoes,2,1200.34,Cash,7/1/2023,Forum Istanbul,1080.306
I194694,C283085,Female,38,Shoes,2,1200.34,Cash,19/02/2022,Istinye Park,1080.306
I167141,C914383,Female,66,Shoes,1,600.17,Debit Card,7/4/2022,Metropol AVM,540.153
I237413,C122512,Female,46,Shoes,4,2400.68,Cash,16/05/2022,Mall of Istanbul,2160.612
I299298,C185927,Female,32,Shoes,2,1200.34,Debit Card,3/6/2022,Istinye Park,1080.306
I632741,C436842,Female,61,Shoes,2,1200.34,Debit Card,23/02/2021,Viaport Outlet,1080.306
I254214,C293839,Female,47,Shoes,2,1200.34,Credit Card,12/12/2021,Emaar Square Mall,1080.306
I327313,C141655,Female,42,Shoes,2,1200.34,Credit Card,6/2/2021,Emaar Square Mall,1080.306
I248396,C285923,Female,44,Shoes,3,1800.51,Debit Card,27/10/2022,Kanyon,1620.459
I669709,C135622,Female,52,Shoes,2,1200.34,Credit Card,18/12/2021,Cevahir AVM,1080.306
I127742,C301406,Female,42,Shoes,3,1800.51,Cash,21/03/2022,Istinye Park,1620.459
I254805,C173515,Female,44,Shoes,5,3000.85,Cash,30/06/2021,Metropol AVM,2700.765
I313524,C251157,Female,58,Shoes,2,1200.34,Credit Card,19/05/2022,Emaar Square Mall,1080.306
I168620,C525961,Female,41,Shoes,5,3000.85,Credit Card,28/05/2021,Kanyon,2700.765
I302087,C980538,Female,54,Shoes,5,3000.85,Credit Card,1/12/2022,Metrocity,2700.765
I858587,C800455,Female,57,Shoes,2,1200.34,Credit Card,10/11/2022,Kanyon,1080.306
I321761,C232573,Female,67,Shoes,2,1200.34,Debit Card,20/06/2022,Kanyon,1080.306
I103026,C142823,Female,64,Shoes,1,600.17,Cash,21/10/2021,Viaport Outlet,540.153
I158709,C873903,Female,36,Shoes,2,1200.34,Credit Card,5/7/2022,Mall of Istanbul,1080.306
I120289,C148529,Female,52,Shoes,1,600.17,Cash,10/6/2022,Metrocity,540.153
I244795,C605061,Female,40,Shoes,2,1200.34,Cash,13/11/2022,Mall of Istanbul,1080.306
I714338,C172047,Female,58,Shoes,5,3000.85,Cash,6/7/2022,Forum Istanbul,2700.765
I886851,C170846,Female,63,Shoes,5,3000.85,Debit Card,6/11/2022,Zorlu Center,2700.765
I320307,C639413,Female,55,Shoes,1,600.17,Cash,23/09/2022,Metrocity,540.153
I189316,C633615,Female,39,Shoes,2,1200.34,Debit Card,25/04/2022,Kanyon,1080.306
I879009,C241999,Female,36,Shoes,2,1200.34,Cash,18/02/2021,Emaar Square Mall,1080.306
I270846,C112850,Female,52,Shoes,1,600.17,Credit Card,27/06/2022,Metrocity,540.153
I276916,C854491,Female,59,Shoes,3,1800.51,Debit Card,10/11/2021,Metropol AVM,1620.459
I325363,C321839,Female,33,Shoes,4,2400.68,Debit Card,29/03/2021,Mall of Istanbul,2160.612
I544321,C141589,Female,46,Shoes,5,3000.85,Credit Card,16/02/2022,Zorlu Center,2700.765
I903643,C129732,Female,53,Shoes,1,600.17,Cash,14/02/2021,Mall of Istanbul,540.153
I144768,C144548,Female,58,Shoes,2,1200.34,Debit Card,8/7/2021,Mall of Istanbul,1080.306
I773082,C852450,Female,42,Shoes,4,2400.68,Cash,15/10/2021,Kanyon,2160.612
I340972,C226056,Female,52,Shoes,4,2400.68,Cash,13/03/2022,Metrocity,2160.612
I105825,C952957,Female,52,Shoes,1,600.17,Cash,28/06/2021,Metropol AVM,540.153
I154496,C330816,Female,56,Shoes,2,1200.34,Debit Card,2/8/2021,Metrocity,1080.306
I205151,C217535,Female,67,Shoes,5,3000.85,Cash,20/10/2022,Istinye Park,2700.765
I141159,C137916,Female,53,Shoes,2,1200.34,Debit Card,26/10/2021,Kanyon,1080.306
I194715,C873916,Female,59,Shoes,4,2400.68,Credit Card,9/2/2023,Mall of Istanbul,2160.612
I911735,C131386,Female,34,Shoes,4,2400.68,Cash,6/4/2021,Metropol AVM,2160.612
I731680,C170686,Female,48,Shoes,2,1200.34,Cash,27/11/2021,Kanyon,1080.306
I684220,C149865,Female,68,Shoes,2,1200.34,Cash,3/4/2021,Metropol AVM,1080.306
I200448,C260637,Female,49,Shoes,5,3000.85,Credit Card,16/03/2021,Cevahir AVM,2700.765
I110756,C196034,Female,67,Shoes,2,1200.34,Credit Card,16/08/2021,Metrocity,1080.306
I215520,C339717,Female,43,Shoes,4,2400.68,Cash,30/01/2021,Kanyon,2160.612
I249974,C319465,Female,64,Shoes,4,2400.68,Cash,25/10/2021,Mall of Istanbul,2160.612
I335904,C307556,Female,62,Shoes,5,3000.85,Cash,4/11/2022,Mall of Istanbul,2700.765
I178908,C708637,Female,31,Shoes,5,3000.85,Cash,25/05/2021,Mall of Istanbul,2700.765
I208174,C135888,Female,46,Shoes,1,600.17,Credit Card,27/02/2023,Kanyon,540.153
I212619,C249908,Female,67,Shoes,1,600.17,Credit Card,1/3/2023,Mall of Istanbul,540.153
I328150,C554027,Female,52,Shoes,2,1200.34,Cash,12/10/2022,Mall of Istanbul,1080.306
I279014,C126254,Female,33,Shoes,3,1800.51,Credit Card,5/5/2021,Viaport Outlet,1620.459
I334992,C204731,Female,52,Shoes,4,2400.68,Cash,2/3/2021,Emaar Square Mall,2160.612
I264390,C235608,Female,39,Shoes,5,3000.85,Credit Card,20/05/2022,Forum Istanbul,2700.765
I159817,C203342,Female,64,Shoes,2,1200.34,Credit Card,2/9/2021,Istinye Park,1080.306
I142645,C197596,Female,48,Shoes,2,1200.34,Cash,17/07/2022,Istinye Park,1080.306
I163480,C208918,Female,48,Shoes,1,600.17,Credit Card,26/11/2022,Emaar Square Mall,540.153
I172198,C104600,Female,51,Shoes,5,3000.85,Debit Card,22/09/2021,Istinye Park,2700.765
I292632,C304597,Female,31,Shoes,2,1200.34,Debit Card,10/1/2022,Mall of Istanbul,1080.306
I284159,C195331,Female,58,Shoes,4,2400.68,Cash,27/06/2021,Mall of Istanbul,2160.612
I248173,C209946,Female,31,Shoes,3,1800.51,Cash,17/05/2022,Mall of Istanbul,1620.459
I534898,C645662,Female,48,Shoes,4,2400.68,Debit Card,9/12/2022,Mall of Istanbul,2160.612
I146715,C318888,Female,40,Shoes,2,1200.34,Debit Card,27/03/2022,Metropol AVM,1080.306
I789975,C294226,Female,67,Shoes,3,1800.51,Cash,30/11/2022,Metrocity,1620.459
I160256,C850688,Female,42,Shoes,5,3000.85,Credit Card,20/05/2022,Metrocity,2700.765
I148124,C370708,Female,39,Shoes,2,1200.34,Debit Card,8/3/2023,Metrocity,1080.306
I408840,C198061,Female,38,Shoes,5,3000.85,Credit Card,30/06/2022,Kanyon,2700.765
I795688,C111374,Female,55,Shoes,1,600.17,Cash,4/5/2021,Cevahir AVM,540.153
I114230,C334674,Female,34,Shoes,3,1800.51,Cash,26/08/2021,Viaport Outlet,1620.459
I196992,C184540,Female,34,Shoes,4,2400.68,Credit Card,10/11/2021,Zorlu Center,2160.612
I237404,C174456,Female,66,Shoes,4,2400.68,Cash,23/04/2021,Metropol AVM,2160.612
I710041,C302274,Female,47,Shoes,4,2400.68,Cash,18/12/2021,Forum Istanbul,2160.612
I265443,C142679,Female,66,Shoes,1,600.17,Cash,20/09/2021,Kanyon,540.153
I209547,C666027,Female,32,Shoes,5,3000.85,Cash,5/11/2021,Kanyon,2700.765
I117318,C499352,Female,31,Shoes,2,1200.34,Credit Card,14/01/2023,Metropol AVM,1080.306
I536205,C136669,Female,38,Shoes,5,3000.85,Debit Card,16/08/2021,Istinye Park,2700.765
I232440,C105789,Female,62,Shoes,1,600.17,Cash,31/12/2021,Metropol AVM,540.153
I304941,C203021,Female,52,Shoes,3,1800.51,Credit Card,3/6/2022,Kanyon,1620.459
I299674,C207585,Female,47,Shoes,2,1200.34,Credit Card,22/05/2021,Viaport Outlet,1080.306
I421961,C129694,Female,64,Shoes,2,1200.34,Cash,28/02/2022,Mall of Istanbul,1080.306
I875420,C451764,Female,66,Shoes,3,1800.51,Cash,30/03/2021,Kanyon,1620.459
I327640,C255900,Female,36,Shoes,4,2400.68,Cash,28/12/2022,Metropol AVM,2160.612
I336774,C119228,Female,49,Shoes,1,600.17,Cash,29/11/2021,Kanyon,540.153
I266254,C121255,Female,31,Shoes,4,2400.68,Cash,31/01/2021,Metropol AVM,2160.612
I885713,C609946,Female,49,Shoes,3,1800.51,Cash,16/01/2022,Forum Istanbul,1620.459
I296262,C333296,Female,38,Shoes,1,600.17,Credit Card,7/10/2022,Kanyon,540.153
I213264,C181107,Female,38,Shoes,5,3000.85,Credit Card,14/12/2022,Metrocity,2700.765
I670220,C240831,Female,35,Shoes,5,3000.85,Cash,16/05/2022,Mall of Istanbul,2700.765
I312242,C256989,Female,66,Shoes,3,1800.51,Cash,5/9/2021,Kanyon,1620.459
I471964,C261715,Female,58,Shoes,4,2400.68,Cash,19/07/2022,Mall of Istanbul,2160.612
I294318,C134508,Female,58,Shoes,5,3000.85,Credit Card,25/07/2022,Emaar Square Mall,2700.765
I506483,C734463,Female,50,Shoes,5,3000.85,Credit Card,2/2/2023,Metrocity,2700.765
I209109,C218979,Female,32,Shoes,4,2400.68,Credit Card,27/02/2023,Kanyon,2160.612
I189735,C215039,Female,54,Shoes,4,2400.68,Cash,16/09/2021,Mall of Istanbul,2160.612
I213113,C183760,Female,64,Shoes,1,600.17,Credit Card,3/10/2022,Metrocity,540.153
I168885,C101863,Female,68,Shoes,2,1200.34,Debit Card,8/3/2023,Kanyon,1080.306
I202441,C172074,Female,53,Shoes,1,600.17,Credit Card,7/1/2021,Kanyon,540.153
I297901,C110855,Female,67,Shoes,2,1200.34,Debit Card,21/05/2022,Mall of Istanbul,1080.306
I176032,C508750,Female,51,Shoes,4,2400.68,Cash,31/08/2021,Metrocity,2160.612
I148410,C530331,Female,42,Shoes,3,1800.51,Credit Card,15/02/2022,Kanyon,1620.459
I318020,C298239,Female,51,Shoes,1,600.17,Cash,26/08/2021,Metrocity,540.153
I195862,C205752,Female,36,Shoes,4,2400.68,Cash,15/04/2021,Kanyon,2160.612
I302891,C892160,Female,64,Shoes,2,1200.34,Cash,16/11/2021,Metropol AVM,1080.306
I141186,C196740,Female,47,Shoes,4,2400.68,Cash,31/05/2021,Forum Istanbul,2160.612
I217523,C305044,Female,69,Shoes,1,600.17,Credit Card,29/05/2022,Metrocity,540.153
I201450,C113964,Female,40,Shoes,4,2400.68,Cash,5/11/2021,Metropol AVM,2160.612
I146397,C298497,Female,34,Shoes,1,600.17,Credit Card,31/01/2022,Kanyon,540.153
I316933,C259960,Female,47,Shoes,5,3000.85,Credit Card,6/8/2022,Istinye Park,2700.765
I825734,C181899,Female,69,Shoes,3,1800.51,Debit Card,20/02/2021,Forum Istanbul,1620.459
I320306,C248231,Female,48,Shoes,5,3000.85,Credit Card,22/09/2022,Viaport Outlet,2700.765
I260523,C151036,Female,53,Shoes,3,1800.51,Credit Card,30/10/2022,Viaport Outlet,1620.459
I224456,C330764,Female,65,Shoes,2,1200.34,Credit Card,12/12/2021,Emaar Square Mall,1080.306
I354980,C288091,Female,61,Shoes,4,2400.68,Credit Card,19/10/2022,Metrocity,2160.612
I109922,C183478,Female,40,Shoes,5,3000.85,Credit Card,13/05/2022,Mall of Istanbul,2700.765
I892292,C276521,Female,54,Shoes,3,1800.51,Cash,24/03/2021,Metropol AVM,1620.459
I103932,C112853,Female,32,Shoes,5,3000.85,Debit Card,13/04/2022,Mall of Istanbul,2700.765
I198492,C129082,Female,32,Shoes,5,3000.85,Credit Card,23/12/2021,Istinye Park,2700.765
I201972,C167118,Female,42,Shoes,3,1800.51,Cash,4/2/2023,Kanyon,1620.459
I119186,C434025,Female,31,Shoes,4,2400.68,Credit Card,15/03/2021,Kanyon,2160.612
I293071,C125357,Female,58,Shoes,1,600.17,Credit Card,26/08/2021,Kanyon,540.153
I187414,C172801,Female,37,Shoes,1,600.17,Debit Card,13/08/2022,Emaar Square Mall,540.153
I304266,C142254,Female,33,Shoes,1,600.17,Cash,20/01/2023,Metrocity,540.153
I184355,C160045,Female,69,Shoes,2,1200.34,Debit Card,5/4/2022,Kanyon,1080.306
I469563,C217717,Female,52,Shoes,4,2400.68,Credit Card,7/2/2022,Metrocity,2160.612
I202009,C157343,Female,32,Shoes,3,1800.51,Credit Card,11/4/2022,Istinye Park,1620.459
I745150,C118003,Female,54,Shoes,4,2400.68,Credit Card,18/02/2021,Mall of Istanbul,2160.612
I333821,C222935,Female,57,Shoes,5,3000.85,Cash,17/09/2021,Viaport Outlet,2700.765
I285377,C198053,Female,58,Shoes,3,1800.51,Credit Card,10/9/2021,Metropol AVM,1620.459
I160197,C215141,Female,46,Shoes,2,1200.34,Cash,23/08/2022,Metropol AVM,1080.306
I748648,C272275,Female,52,Shoes,3,1800.51,Cash,25/03/2022,Cevahir AVM,1620.459
I269906,C304437,Female,58,Shoes,5,3000.85,Cash,23/09/2021,Kanyon,2700.765
I125919,C169616,Female,31,Shoes,5,3000.85,Credit Card,10/1/2022,Kanyon,2700.765
I291490,C772231,Female,64,Shoes,2,1200.34,Cash,30/04/2021,Mall of Istanbul,1080.306
I231058,C237353,Female,65,Shoes,1,600.17,Cash,7/2/2022,Emaar Square Mall,540.153
I209474,C196878,Female,60,Shoes,3,1800.51,Credit Card,2/7/2022,Viaport Outlet,1620.459
I347525,C333167,Female,34,Shoes,2,1200.34,Cash,25/07/2021,Metrocity,1080.306
I127510,C112154,Female,60,Shoes,4,2400.68,Credit Card,15/01/2021,Kanyon,2160.612
I361241,C113916,Female,39,Shoes,2,1200.34,Cash,14/09/2021,Forum Istanbul,1080.306
I340740,C236544,Female,52,Shoes,4,2400.68,Credit Card,16/06/2022,Mall of Istanbul,2160.612
I265617,C209265,Female,51,Shoes,5,3000.85,Cash,12/8/2022,Metrocity,2700.765
I553623,C215137,Female,63,Shoes,3,1800.51,Cash,9/1/2022,Mall of Istanbul,1620.459
I107970,C329705,Female,40,Shoes,5,3000.85,Debit Card,5/8/2021,Kanyon,2700.765
I959066,C989688,Female,61,Shoes,2,1200.34,Cash,1/10/2021,Cevahir AVM,1080.306
I270835,C245693,Female,55,Shoes,5,3000.85,Cash,4/9/2021,Mall of Istanbul,2700.765
I337694,C237902,Female,51,Shoes,4,2400.68,Cash,28/01/2023,Kanyon,2160.612
I201636,C206405,Female,43,Shoes,3,1800.51,Cash,22/09/2021,Istinye Park,1620.459
I146853,C111599,Female,51,Shoes,1,600.17,Cash,4/2/2021,Metrocity,540.153
I158921,C215644,Female,43,Shoes,4,2400.68,Cash,27/02/2023,Mall of Istanbul,2160.612
I310472,C474733,Female,68,Shoes,4,2400.68,Cash,9/2/2023,Metrocity,2160.612
I103789,C105302,Female,58,Shoes,1,600.17,Cash,28/03/2022,Cevahir AVM,540.153
I597862,C793203,Female,67,Shoes,2,1200.34,Debit Card,22/07/2021,Kanyon,1080.306
I237156,C110304,Female,67,Shoes,4,2400.68,Debit Card,9/12/2022,Kanyon,2160.612
I216052,C139798,Female,67,Shoes,3,1800.51,Debit Card,30/07/2021,Metrocity,1620.459
I135604,C108508,Female,51,Shoes,1,600.17,Cash,5/3/2021,Forum Istanbul,540.153
I223235,C233798,Female,67,Shoes,4,2400.68,Cash,24/09/2022,Metropol AVM,2160.612
I228386,C117373,Female,35,Shoes,3,1800.51,Debit Card,2/3/2022,Mall of Istanbul,1620.459
I263907,C878009,Female,35,Shoes,4,2400.68,Credit Card,11/6/2022,Istinye Park,2160.612
I200739,C301747,Female,67,Shoes,2,1200.34,Credit Card,2/10/2021,Kanyon,1080.306
I249752,C217854,Female,49,Shoes,5,3000.85,Cash,3/6/2022,Metropol AVM,2700.765
I115717,C767926,Female,65,Shoes,3,1800.51,Credit Card,13/10/2022,Metropol AVM,1620.459
I616473,C481603,Female,40,Shoes,5,3000.85,Debit Card,12/3/2022,Kanyon,2700.765
I484012,C666083,Female,61,Shoes,1,600.17,Credit Card,26/01/2023,Metropol AVM,540.153
I145722,C261571,Female,68,Shoes,1,600.17,Cash,31/08/2022,Viaport Outlet,540.153
I154522,C248756,Female,34,Shoes,5,3000.85,Credit Card,1/1/2021,Mall of Istanbul,2700.765
I104871,C939940,Female,54,Shoes,5,3000.85,Debit Card,1/2/2023,Viaport Outlet,2700.765
I194929,C103814,Female,68,Shoes,4,2400.68,Debit Card,14/06/2021,Mall of Istanbul,2160.612
I318923,C245685,Female,42,Shoes,4,2400.68,Debit Card,22/11/2021,Forum Istanbul,2160.612
I902771,C136394,Female,40,Shoes,1,600.17,Debit Card,29/06/2021,Metrocity,540.153
I882708,C719682,Female,68,Shoes,2,1200.34,Credit Card,11/8/2022,Zorlu Center,1080.306
I308995,C115996,Female,48,Shoes,1,600.17,Credit Card,26/12/2022,Mall of Istanbul,540.153
I111741,C219190,Female,58,Shoes,4,2400.68,Cash,9/8/2021,Mall of Istanbul,2160.612
I492004,C213959,Female,68,Shoes,3,1800.51,Credit Card,28/01/2023,Metrocity,1620.459
I331494,C662544,Female,44,Shoes,4,2400.68,Debit Card,24/05/2022,Kanyon,2160.612
I217296,C880822,Female,59,Shoes,5,3000.85,Credit Card,6/2/2021,Forum Istanbul,2700.765
I296070,C443073,Female,36,Shoes,5,3000.85,Cash,23/07/2021,Cevahir AVM,2700.765
I559244,C130692,Female,64,Shoes,1,600.17,Cash,7/3/2023,Metropol AVM,540.153
I670691,C956247,Female,44,Shoes,3,1800.51,Debit Card,3/7/2021,Forum Istanbul,1620.459
I232301,C315562,Female,37,Shoes,1,600.17,Credit Card,7/8/2021,Metrocity,540.153
I253426,C319134,Female,31,Shoes,1,600.17,Credit Card,29/11/2022,Kanyon,540.153
I284291,C261569,Female,35,Shoes,2,1200.34,Debit Card,16/06/2022,Metropol AVM,1080.306
I383614,C775794,Female,63,Shoes,2,1200.34,Credit Card,29/04/2022,Kanyon,1080.306
I150133,C100642,Female,63,Shoes,2,1200.34,Debit Card,12/2/2021,Emaar Square Mall,1080.306
I223316,C198270,Female,52,Shoes,5,3000.85,Cash,10/1/2022,Istinye Park,2700.765
I260577,C207850,Female,46,Shoes,1,600.17,Cash,15/03/2022,Emaar Square Mall,540.153
I774964,C320338,Female,65,Shoes,4,2400.68,Cash,18/07/2021,Kanyon,2160.612
I226812,C183554,Female,68,Shoes,3,1800.51,Debit Card,31/01/2021,Cevahir AVM,1620.459
I177672,C144061,Female,67,Shoes,5,3000.85,Credit Card,21/07/2022,Metropol AVM,2700.765
I326890,C154147,Female,39,Shoes,4,2400.68,Credit Card,21/11/2022,Metrocity,2160.612
I491895,C560761,Female,55,Shoes,2,1200.34,Credit Card,29/07/2022,Metropol AVM,1080.306
I237626,C256114,Female,55,Shoes,3,1800.51,Debit Card,11/8/2022,Mall of Istanbul,1620.459
I283149,C210574,Female,54,Shoes,4,2400.68,Cash,14/01/2021,Kanyon,2160.612
I723207,C191517,Female,47,Shoes,3,1800.51,Credit Card,2/2/2023,Mall of Istanbul,1620.459
I338871,C190765,Female,56,Shoes,1,600.17,Credit Card,15/06/2022,Istinye Park,540.153
I644486,C205939,Female,54,Shoes,2,1200.34,Credit Card,7/2/2023,Metropol AVM,1080.306
I331029,C205555,Female,54,Shoes,4,2400.68,Cash,6/2/2023,Kanyon,2160.612
I128103,C107472,Female,65,Shoes,4,2400.68,Cash,21/03/2022,Mall of Istanbul,2160.612
I724627,C801775,Female,36,Shoes,3,1800.51,Debit Card,16/01/2021,Metropol AVM,1620.459
I290110,C220207,Female,43,Shoes,5,3000.85,Cash,20/07/2021,Cevahir AVM,2700.765
I988358,C287864,Female,68,Shoes,4,2400.68,Cash,24/07/2021,Viaport Outlet,2160.612
I132904,C250570,Female,56,Shoes,1,600.17,Credit Card,11/8/2021,Viaport Outlet,540.153
I379875,C339044,Female,31,Shoes,3,1800.51,Cash,21/10/2022,Metropol AVM,1620.459
I124836,C265661,Female,46,Shoes,3,1800.51,Credit Card,8/3/2023,Metrocity,1620.459
I548527,C267945,Female,56,Shoes,5,3000.85,Cash,31/08/2021,Metropol AVM,2700.765
